index,Date,Location,Operator,AC Type,Aboard,Aboard Passengers,Aboard Crew,Fatalities,Fatalities Passengers,Fatalities Crew,Ground,Summary,Passenger to Crew Ratio,Survival Rate,Company,Primary Cause,Specific Reason,Incident Outcome,Operator Type,Aircraft Size,Severity Score
0,1908-09-17,"Fort Myer, Virginia",Military - U.S. Army,Wright Flyer III,2.0,1.0,1.0,1.0,1.0,0.0,0.0,"during a demonstration flight, a u.s. army flyer flown by orville wright nose-dived into the ground from a height of approximately 75 feet, killing lt. thomas e. selfridge, 26, who was a passenger. this was the first recorded airplane fatality in history.  one of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  orville wright suffered broken ribs, pelvis and a leg.  selfridge suffered a crushed skull and died a short time later.",1.0,50.0,Wright,OPERATIONAL,Ground Operations,In-Flight Breakup,Military,Small,1.5
2,1912-07-12,"Atlantic City, New Jersey",Military - U.S. Navy,Dirigible,5.0,0.0,5.0,5.0,0.0,5.0,0.0,"first u.s. dirigible akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",0.0,0.0,Other,Unknown,Unknown,Explosion,Military,Small,6.0
3,1913-08-06,"Victoria, British Columbia, Canada",Private,Curtiss seaplane,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"the first fatal airplane accident in canada occurred when american barnstormer, john m. bryant, california aviator was killed.",0.0,0.0,Curtiss,Unknown,Unknown,Unknown,Commercial,Small,2.0
4,1913-09-09,Over the North Sea,Military - German Navy,Zeppelin L-1 (airship),20.0,16.0,4.0,14.0,14.0,4.0,0.0,the airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of helgoland island into the sea. the ship broke in two and the control car immediately sank drowning its occupants.,4.0,30.0,Zeppelin,Unknown,Unknown,Crashed,Military,Small,14.7
5,1913-10-17,"Near Johannisthal, Germany",Military - German Navy,Zeppelin L-2 (airship),30.0,24.0,6.0,30.0,24.0,6.0,0.0,"hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",4.0,0.0,Zeppelin,TECHNICAL,Engine Failure,Unknown,Military,Small,31.0
6,1915-03-05,"Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),41.0,32.8,8.2,21.0,21.0,8.2,0.0,crashed into trees while attempting to land after being shot down by british and french aircraft.,4.0,48.78,Zeppelin,EXTERNAL,Shot Down,Crashed,Military,Small,21.51
7,1915-09-03,"Off Cuxhaven, Germany",Military - German Navy,Zeppelin L-10 (airship),19.0,15.2,3.8,19.0,15.2,3.8,0.0,"exploded and burned near neuwerk island,  when hydrogen gas, being vented, was ignited by lightning.",4.0,0.0,Zeppelin,WEATHER,Lightning Strike,Explosion,Military,Small,20.0
8,1916-07-28,"Near Jambol, Bulgeria",Military - German Army,Schutte-Lanz S-L-10 (airship),20.0,16.0,4.0,20.0,16.0,4.0,0.0,"crashed near the black sea, cause unknown.",4.0,0.0,Schutte-Lanz,Unknown,Unknown,Crashed,Military,Small,21.0
9,1916-09-24,"Billericay, England",Military - German Navy,Zeppelin L-32 (airship),22.0,17.6,4.4,22.0,17.6,4.4,0.0,shot down by british aircraft crashing in flames.,4.0,0.0,Zeppelin,EXTERNAL,Shot Down,Crashed,Military,Small,23.0
10,1916-10-01,"Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),19.0,0.0,19.0,19.0,0.0,19.0,0.0,shot down in flames by the british 39th home defence squadron.,0.0,0.0,Zeppelin,EXTERNAL,Shot Down,Shot Down By Enemy,Military,Small,20.0
